trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
To Watch the World Spin Without You,Mon Rovîa,https://open.spotify.com/track/1W37DGi2nBrneQGUUMQMyt,1W37DGi2nBrneQGUUMQMyt,To Watch the World Spin Without You,59.0,152346.0,1.0,https://i.scdn.co/image/ab67616d0000b27314ad5b1b99e97086a1f45cf4,['Mon Rovîa'],,2023-05-31,[]
Brown Cow Stunning,Monique Heart,https://open.spotify.com/track/17nicr4bub5sGc9Hac7hUg,17nicr4bub5sGc9Hac7hUg,Brown Cow Stunning,27.0,187200.0,1.0,https://i.scdn.co/image/ab67616d0000b2738e001b5b7e73cf53d7fd1b19,['Monique Heart'],,2019-01-04,['strut']
Monster High Fright Song,Monster High,https://open.spotify.com/track/65UhJ76y8wMOVeN56O5Otu,65UhJ76y8wMOVeN56O5Otu,"Boo York, Boo York (Original Motion Picture Soundtrack)",60.0,169000.0,10.0,https://i.scdn.co/image/ab67616d0000b273972081b04e730fa7095f85ba,"['Monster High', 'Mattel']",,2015-01-01,"['movie tunes', 'otacore']"
Soak It Up (Remix),Monét X Change,https://open.spotify.com/track/3M8oAB4Nof44bWG5qP7gtq,3M8oAB4Nof44bWG5qP7gtq,Soak It Up,22.0,256298.0,2.0,https://i.scdn.co/image/ab67616d0000b2739c51c93337acf786f736c835,"['Monét X Change', 'Bob the Drag Queen']",,2018-05-25,['strut']
March,Monét X Change,https://open.spotify.com/track/0sm118jBfsmXhMXziLMtf9,0sm118jBfsmXhMXziLMtf9,March,11.0,179812.0,1.0,https://i.scdn.co/image/ab67616d0000b273d91aa15f19e6f1f19b0e83bf,['Monét X Change'],,2020-06-28,['strut']
Hex Girl,Moon Sisters,https://open.spotify.com/track/4NFMIIgeniFgNfsB8Uj9Ta,4NFMIIgeniFgNfsB8Uj9Ta,Embers of Beauty,50.0,100963.0,4.0,https://i.scdn.co/image/ab67616d0000b273c9520c2e1a416f651a1f2dbb,"['Moon Sisters', 'The Nostalgia Girls']",,2015-01-10,['otacore']
Here We Go,Moonbaby,https://open.spotify.com/track/3y1LRqZIXdxmN5Y0TFg1CL,3y1LRqZIXdxmN5Y0TFg1CL,Here We Go,22.0,232360.0,1.0,https://i.scdn.co/image/ab67616d0000b2733a309dd7ed0eb1cc69b40db1,['Moonbaby'],,2000-08-14,[]
Lies Lies Lies,Morgan Wallen,https://open.spotify.com/track/7Fzl7QaTu47WyP9R5S5mh5,7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,81.0,198068.0,1.0,https://i.scdn.co/image/ab67616d0000b27337eedb840f9441959db3107e,['Morgan Wallen'],,2024-07-05,['contemporary country']
Finish Line,Morninglightmusic,https://open.spotify.com/track/3mesX57Pgrug3cSuCmTzJX,3mesX57Pgrug3cSuCmTzJX,Eight,36.0,132000.0,10.0,https://i.scdn.co/image/ab67616d0000b27336a5addd0c3ca03164efe09b,['Morninglightmusic'],,2019-11-08,[]
Live and Laugh,Morninglightmusic,https://open.spotify.com/track/47zkYSF9EiRp2rneF8NWmf,47zkYSF9EiRp2rneF8NWmf,Six,25.0,118800.0,4.0,https://i.scdn.co/image/ab67616d0000b273aeb78dcb93d06109233b126c,['Morninglightmusic'],,2018-11-26,[]
